RiesgoNormalizado,CiudadNormalizada,MesFecha,Sector,TrabDep,TrabInd,AccTraCal
5,6,2,8,1273,12,8
5,6,2,17,34,2,3
5,6,2,17,207,65,1
5,6,2,17,146,5,0
1,1,3,1,11954,67734,319
1,1,3,2,1151,6053,11
1,1,3,3,197297,638,531
1,1,3,4,209066,38115,605
1,1,3,5,155677,10515,208
1,1,3,6,3897,438,349
1,1,3,7,4098,83,4
1,1,3,8,475577,26012,661
1,1,3,9,49148,417,64
1,1,3,17,76401,12836,270
1,1,3,17,35368,6718,143
1,1,3,17,25233,1006,21
2,1,3,1,17909,945,33
2,1,3,2,2383,763,409
2,1,3,3,132531,3304,750
2,1,3,3,428,32,1
2,1,3,5,681,274,2
2,1,3,6,6314,538,443
2,1,3,7,64199,897,298
2,1,3,8,109958,2689,540
2,1,3,8,245,6,2
2,1,3,17,16787,2782,115
2,1,3,17,10985,2244,53
2,1,3,17,71488,2486,169
3,1,3,2,31928,256,218
3,1,3,3,40278,919,217
3,1,3,3,5599,456,25
3,1,3,4,4119,496,19
3,1,3,6,9947,48,88
3,1,3,7,212679,5255,1742
3,1,3,8,159937,4516,1006
3,1,3,8,131,4,1
3,1,3,8,614,432,3
3,1,3,17,25166,3132,237
3,1,3,17,92615,33833,758
3,1,3,17,38206,2771,265
4,1,3,2,2942,55,40
4,1,3,3,26335,2096,167
4,1,3,3,17062,493,85
4,1,3,4,5889,124,21
4,1,3,7,32985,1181,248
4,1,3,8,196408,758,573
4,1,3,8,542,9,4
4,1,3,8,224,2,2
4,1,3,17,1405,123,17
4,1,3,17,163803,39629,870
5,1,3,1,29755,2956,272
5,1,3,2,629,19,5
5,1,3,3,3827,155,35
5,1,3,3,239218,7302,1604
5,1,3,7,31227,1724,279
5,1,3,8,122424,5767,837
5,1,3,8,60263,1646,308
5,1,3,17,541,159,6
5,1,3,17,4094,1229,34
5,1,3,17,1438,493,91
1,1,4,1,119706,72869,313
1,1,4,2,1108,6183,11
1,1,4,3,198825,638,457
1,1,4,4,212243,3958,544
1,1,4,5,15695,10568,246
1,1,4,6,38991,476,360
1,1,4,7,3991,82,3
1,1,4,8,475351,26501,601
1,1,4,9,49334,412,62
1,1,4,17,77298,13288,254
1,1,4,17,38219,6793,142
1,1,4,17,25334,103,20
2,1,4,1,17823,951,21
2,1,4,2,24416,782,360
